"Year","Latitude","Longitude","Biomass_catch_rate"
1982,55.00333,-166.94,4.28487751390688
1982,55.01017,-166.34633,3.00891162259674
1982,55.00833,-165.74,11.3188451397016
1982,55.0105,-165.159,98.1707445554393
1982,55.00833,-164.57667,30.6222972508026
1982,55.33,-166.97167,15.2645390256399
1982,55.31267,-166.34683,2.53613341254902
1982,55.32667,-164.59,2.88317617285385
1982,55.33983,-163.98083,8.71750597296382
1982,55.35,-163.41667,5.59098766217743
1982,55.72,-167.5475,8.78608988258166
1982,55.66333,-166.96833,1.57432993789625
1982,55.64783,-166.37883,3.59722134570081
1982,55.68167,-165.80167,12.8298350569506
1982,55.686,-165.15117,0
1982,55.66,-164.58,0
1982,55.646,-164.0075,32.8449630387433
1982,55.68333,-163.4,9.19424614309638
1982,55.70167,-162.82467,136.421711749358
1982,55.67867,-168.196,11.6906538529567
1982,56.01283,-167.61633,4.28548191513445
1982,56.00667,-167.025,3.34321116459012
1982,55.98383,-166.4025,9.87338938137383
1982,56.00667,-165.79167,3.41643355872827
1982,55.985,-164.59167,2.69869969680067
1982,56.00133,-164.00817,1.39703797694605
1982,56.005,-163.39,2.47697318372645
1982,56.02083,-162.8055,9.8237961879587
1982,56.00167,-162.23167,85.9397107312083
1982,56.01167,-168.235,18.1215257557957
1982,56.34333,-167.648,5.50544503346648
1982,56.32667,-167.01333,18.3473994830729
1982,56.31917,-166.4145,5.21522013935212
1982,56.33833,-165.79833,7.36320668539675
1982,56.34433,-165.19817,0
1982,56.31833,-164.58167,1.72548080286318
1982,56.3145,-163.998,7.70084238111792
1982,56.34,-163.39667,2.84122854378655
1982,56.35433,-162.798,15.070512511293
1982,56.32333,-162.205,17.3122579982389
1982,56.31817,-161.6365,56.0085775187305
1982,56.34167,-161.00333,74.8812076207766
1982,56.345,-168.26333,7.08562672861109
1982,56.33667,-168.88133,8.57579253745433
1982,56.345,-170.067,7.7203276457978
1982,56.34417,-170.6825,18.4858419928644
1982,56.68167,-167.66483,15.9997456369554
1982,56.66333,-167.07667,23.764570748842
1982,56.6455,-166.43,9.79986607269261
1982,56.67333,-165.825,4.81682373525006
1982,56.6815,-165.196,1.92738201305755
1982,56.66,-164.61167,4.77746139527907
1982,56.665,-164,6.52058430247407
1982,56.68167,-163.38,11.5510905587419
1982,56.68867,-162.786,4.13204870463798
1982,56.65333,-162.18667,8.43725908658866
1982,56.65617,-161.58117,31.3100694506538
1982,56.67833,-160.99167,13.669138715277
1982,56.67067,-160.34967,43.0196678157313
1982,56.685,-159.76,66.237561602651
1982,56.66,-168.31667,2.3974395379428
1982,56.6515,-168.8945,3.66784029233204
1982,56.66033,-169.5015,5.74484817842413
1982,56.67217,-170.13367,0
1982,56.67983,-170.73967,24.7677294482156
1982,56.662,-171.33117,64.3267529962489
1982,56.674,-171.9685,36.7474485668561
1982,56.67933,-172.6305,35.0723220464185
1982,56.988,-167.71483,4.34336971155049
1982,57.00833,-167.08167,2.00193791800472
1982,56.97717,-166.46133,6.60334646828442
1982,57.01167,-165.85833,9.65098617866142
1982,57.018,-165.21617,7.32494973079467
1982,56.99,-164.605,15.1681011765098
1982,57.001,-163.99417,1.77246346222263
1982,57.01667,-163.395,13.6209493709015
1982,57.01783,-162.7815,0.333382220962438
1982,56.99333,-162.17333,0.940998651562617
1982,56.98617,-161.5835,1.48690893303034
1982,57.015,-160.95167,28.1948259981262
1982,56.982,-160.33467,42.0964450157463
1982,56.99333,-159.72333,22.7555080705125
1982,57.00467,-159.09633,165.769336926654
1982,57.01283,-168.34083,6.76031247669985
1982,56.98,-168.99567,6.02397571535508
1982,57.015,-169.52283,18.1426241785086
1982,57.00233,-170.1805,10.8851616616575
1982,57.01167,-170.78833,9.02870143659985
1982,56.9805,-171.40833,46.5856753782884
1982,57.01617,-171.9675,11.9687588239764
1982,57.0305,-173.2815,18.4339012849514
1982,56.85233,-168.64883,6.03141804756769
1982,56.82833,-169.31933,19.6557232847424
1982,56.842,-169.92817,5.5787473830829
1982,56.8525,-170.44867,2.03072471526172
1982,57.37183,-167.739,1.45751864964036
1982,57.34333,-167.135,4.74401883963398
